date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:02:01	295/295	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2013:02:01%20GMT	http://localhost/robots.txt		(from )
21:02:02	702861/702861	---M-Z	200	added ('OK')	text/html	etag:%228fdaf1e044e71e84f340327b7844ce8f%22	http://localhost/ecom_test/	C:/myproject/ecom_test_static/ecom_test_static/localhost/ecom_test/index.html	(from )
21:02:04	13577/13577	---M--	200	added ('OK')	text/javascript	etag:%223509-634dbe7ec4816%22	http://localhost/ecom_test/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/myproject/ecom_test_static/ecom_test_static/localhost/ecom_test/wp-includes/js/jquery/jquery-migrate.min5589.js	(from http://localhost/ecom_test/)
21:02:04	1718/1718	---M--	200	added ('OK')	text/javascript	etag:%226b6-6359f84b831c0%22	http://localhost/ecom_test/wp-content/plugins/yaymail/assets/scripts/notice.js?ver=4.0.1	C:/myproject/ecom_test_static/ecom_test_static/localhost/ecom_test/wp-content/plugins/yaymail/assets/scripts/noticef39e.js	(from http://localhost/ecom_test/)
21:02:05	2254/2254	---M--	200	added ('OK')	application/rss+xml	etag:%22d581afb90707820d0d2fd639ab89bfa4%22	http://localhost/ecom_test/comments/feed/	C:/myproject/ecom_test_static/ecom_test_static/localhost/ecom_test/comments/feed/index.html	(from http://localhost/ecom_test/)
21:02:05	9636/9636	---M--	200	added ('OK')	text/javascript	etag:%2225a4-6352699b3f100%22	http://localhost/ecom_test/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.8.5	C:/myproject/ecom_test_static/ecom_test_static/localhost/ecom_test/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.mina535.js	(from http://localhost/ecom_test/)
21:02:06	4035/4035	---M--	200	added ('OK')	text/javascript	etag:%22fc3-6352699b3f100%22	http://localhost/ecom_test/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=9.8.5	C:/myproject/ecom_test_static/ecom_test_static/localhost/ecom_test/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min519f.js	(from http://localhost/ecom_test/)
21:02:06	1720/1720	---M--	200	added ('OK')	text/javascript	etag:%226b8-6352699b3f100%22	http://localhost/ecom_test/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.9.8.5	C:/myproject/ecom_test_static/ecom_test_static/localhost/ecom_test/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min6761.js	(from http://localhost/ecom_test/)
21:02:06	3804/3804	---M--	200	added ('OK')	text/javascript	etag:%22edc-6352699b3f100%22	http://localhost/ecom_test/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=9.8.5	C:/myproject/ecom_test_static/ecom_test_static/localhost/ecom_test/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min519f.js	(from http://localhost/ecom_test/)
21:02:07	2939/2939	---M--	200	added ('OK')	text/javascript	etag:%22b7b-6352699b3f100%22	http://localhost/ecom_test/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=9.8.5	C:/myproject/ecom_test_static/ecom_test_static/localhost/ecom_test/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min519f.js	(from http://localhost/ecom_test/)
21:02:09	27389/27389	---MC-	200	added ('OK')	application/rss+xml	etag:%22d581afb90707820d0d2fd639ab89bfa4%22	http://localhost/ecom_test/feed/	C:/myproject/ecom_test_static/ecom_test_static/localhost/ecom_test/feed/index.html	(from http://localhost/ecom_test/)
21:02:09	21555/21555	---M--	200	added ('OK')	text/javascript	etag:%225433-6352699b3f100%22	http://localhost/ecom_test/wp-content/plugins/woocommerce/assets/js/flexslider/jquery.flexslider.min.js?ver=2.7.2-wc.9.8.5	C:/myproject/ecom_test_static/ecom_test_static/localhost/ecom_test/wp-content/plugins/woocommerce/assets/js/flexslider/jquery.flexslider.mindbc3.js	(from http://localhost/ecom_test/)
21:02:10	87553/87553	---M--	200	added ('OK')	text/javascript	etag:%2215601-634dbe7f26f9c%22	http://localhost/ecom_test/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/myproject/ecom_test_static/ecom_test_static/localhost/ecom_test/wp-includes/js/jquery/jquery.minf43b.js	(from http://localhost/ecom_test/)
21:02:12	822/822	---M--	200	added ('OK')	text/xml	date:Wed,%2021%20May%202025%2013:02:10%20GMT	http://localhost/ecom_test/xmlrpc.php?rsd	C:/myproject/ecom_test_static/ecom_test_static/localhost/ecom_test/xmlrpc0db0.php	(from http://localhost/ecom_test/)
